Day of Date,Reg,Segmen Produk,Revenue,Target
1/1/2023,Pospay,Bendapos & Meterai,0,0
1/1/2023,Pospay,Fronting,83264,0
1/1/2023,Pospay,Fund Distribution,6548834824,0
1/1/2023,Pospay,Payment,23742400,0
1/1/2023,Pospay,Remittance & Sharia,-15816714,0
1/1/2023,Reg 1,Bendapos & Meterai,4962879,0
1/1/2023,Reg 1,Fronting,17190333,0
1/1/2023,Reg 1,Fund Distribution,0,0
1/1/2023,Reg 1,Payment,-7320811,0
1/1/2023,Reg 1,Remittance & Sharia,5495393,0
1/1/2023,Reg 2,Bendapos & Meterai,7715841,0
1/1/2023,Reg 2,Fronting,6146129,0
1/1/2023,Reg 2,Fund Distribution,0,0
1/1/2023,Reg 2,Payment,-2472537,0
1/1/2023,Reg 2,Remittance & Sharia,7037326,0
1/1/2023,Reg 3,Bendapos & Meterai,2651520,0
1/1/2023,Reg 3,Fronting,8954017,0
1/1/2023,Reg 3,Fund Distribution,0,0
1/1/2023,Reg 3,Payment,-1943496,0
1/1/2023,Reg 3,Remittance & Sharia,14861744,0
1/1/2023,Reg 4,Bendapos & Meterai,4528841,0
1/1/2023,Reg 4,Fronting,9160513,0
1/1/2023,Reg 4,Fund Distribution,0,0
1/1/2023,Reg 4,Payment,-4554914,0
1/1/2023,Reg 4,Remittance & Sharia,3918589,0
1/1/2023,Reg 5,Bendapos & Meterai,5076115,0
1/1/2023,Reg 5,Fronting,14999196,0
1/1/2023,Reg 5,Fund Distribution,0,0
1/1/2023,Reg 5,Payment,-5275763,0
1/1/2023,Reg 5,Remittance & Sharia,4520664,0
1/1/2023,Reg 6,Bendapos & Meterai,4278091,0
1/1/2023,Reg 6,Fronting,15523717,0
1/1/2023,Reg 6,Fund Distribution,0,0
1/1/2023,Reg 6,Payment,-6796319,0
1/1/2023,Reg 6,Remittance & Sharia,4089311,0
1/2/2023,Pospay,Bendapos & Meterai,0,0
1/2/2023,Pospay,Fronting,189944,0
1/2/2023,Pospay,Fund Distribution,2996,0
1/2/2023,Pospay,Payment,83223112,0
1/2/2023,Pospay,Remittance & Sharia,34418128,0
1/2/2023,Reg 1,Bendapos & Meterai,140362044,0
1/2/2023,Reg 1,Fronting,55805088,0
1/2/2023,Reg 1,Fund Distribution,2596324,0
1/2/2023,Reg 1,Payment,115502912,0
1/2/2023,Reg 1,Remittance & Sharia,42267212,0
1/2/2023,Reg 2,Bendapos & Meterai,135185623,0
1/2/2023,Reg 2,Fronting,23212039,0
